,score,time,label,n,subject,contrast
10819,0.03330570527872245,0.26,t1_s0_h1,1814,05,voiced
10820,0.05542706477775495,0.27,t1_s0_h1,1814,05,voiced
10821,0.04466460362199205,0.28,t1_s0_h1,1814,05,voiced
10822,0.018406670545495496,0.29,t1_s0_h1,1814,05,voiced
10823,0.022366720220252684,0.3,t1_s0_h1,1814,05,voiced
10824,0.03450388206970029,0.31,t1_s0_h1,1814,05,voiced
10825,0.03575116045544229,0.32,t1_s0_h1,1814,05,voiced
10826,0.028717038905638433,0.33,t1_s0_h1,1814,05,voiced
10827,0.036320338019600086,0.34,t1_s0_h1,1814,05,voiced
10828,0.027119223840166122,0.35,t1_s0_h1,1814,05,voiced
10829,0.032458736725810254,0.36,t1_s0_h1,1814,05,voiced
10830,0.022028204851813137,0.37,t1_s0_h1,1814,05,voiced
10831,0.004785752390709021,0.38,t1_s0_h1,1814,05,voiced
10832,0.016371341459429513,0.39,t1_s0_h1,1814,05,voiced
10833,0.038525218568971925,0.4,t1_s0_h1,1814,05,voiced
10834,0.01997806785618446,0.41,t1_s0_h1,1814,05,voiced
10835,0.009023432994429688,0.42,t1_s0_h1,1814,05,voiced
10836,-0.003137768196548434,0.43,t1_s0_h1,1814,05,voiced
10837,0.044199158826648335,0.44,t1_s0_h1,1814,05,voiced
10838,0.0383216129001305,0.45,t1_s0_h1,1814,05,voiced
10839,0.008442046698070542,0.46,t1_s0_h1,1814,05,voiced
10840,0.022637790648403572,0.47,t1_s0_h1,1814,05,voiced
10841,-0.0028597734845569873,0.48,t1_s0_h1,1814,05,voiced
10842,-0.011110717881259148,0.49,t1_s0_h1,1814,05,voiced
10843,0.019359853378472906,0.5,t1_s0_h1,1814,05,voiced
10844,0.03230834924277316,0.51,t1_s0_h1,1814,05,voiced
10845,0.011868754887362654,0.52,t1_s0_h1,1814,05,voiced
10846,0.015830522095314777,0.53,t1_s0_h1,1814,05,voiced
10847,0.01287435541079643,0.54,t1_s0_h1,1814,05,voiced
10848,0.027580145843951586,0.55,t1_s0_h1,1814,05,voiced
10849,0.04022677275958144,0.56,t1_s0_h1,1814,05,voiced
10850,-0.007664271518235638,0.57,t1_s0_h1,1814,05,voiced
10851,0.011508676982131972,0.58,t1_s0_h1,1814,05,voiced
10852,0.03550079330300223,0.59,t1_s0_h1,1814,05,voiced
10853,0.02601524167483515,0.6,t1_s0_h1,1814,05,voiced
10854,-0.030479881579875856,-0.2,t1_s1_h0,1796,05,voiced
10855,-0.0021126502148126605,-0.19,t1_s1_h0,1796,05,voiced
10856,0.02158961705804704,-0.18,t1_s1_h0,1796,05,voiced
10857,-0.021483478603687364,-0.17,t1_s1_h0,1796,05,voiced
10858,-0.03720763487325813,-0.16,t1_s1_h0,1796,05,voiced
10859,0.02219641840642162,-0.15,t1_s1_h0,1796,05,voiced
10860,-0.007331129658771031,-0.14,t1_s1_h0,1796,05,voiced
10861,0.02424457428168976,-0.13,t1_s1_h0,1796,05,voiced
10862,0.030829609955470696,-0.12,t1_s1_h0,1796,05,voiced
10863,0.020831444815671323,-0.11,t1_s1_h0,1796,05,voiced
10864,0.02232430152155941,-0.1,t1_s1_h0,1796,05,voiced
10865,0.0073048599723772685,-0.09,t1_s1_h0,1796,05,voiced
10866,-0.04708192976495154,-0.08,t1_s1_h0,1796,05,voiced
10867,0.0003491989151297388,-0.07,t1_s1_h0,1796,05,voiced
10868,0.0032332552314307127,-0.06,t1_s1_h0,1796,05,voiced
10869,-0.02501301038853302,-0.05,t1_s1_h0,1796,05,voiced
10870,-0.02659971925814333,-0.04,t1_s1_h0,1796,05,voiced
10871,-0.01436896337373046,-0.03,t1_s1_h0,1796,05,voiced
10872,-0.03314375369446576,-0.02,t1_s1_h0,1796,05,voiced
10873,-0.041797881370089225,-0.01,t1_s1_h0,1796,05,voiced
10874,0.01416262294669348,0.0,t1_s1_h0,1796,05,voiced
10875,-0.00535826891867426,0.01,t1_s1_h0,1796,05,voiced
10876,-0.02286926762738786,0.02,t1_s1_h0,1796,05,voiced
10877,-0.04272262477669867,0.03,t1_s1_h0,1796,05,voiced
10878,-0.003815269187518968,0.04,t1_s1_h0,1796,05,voiced
10879,0.018750338652548944,0.05,t1_s1_h0,1796,05,voiced
10880,0.0031053189231468174,0.06,t1_s1_h0,1796,05,voiced
10881,-0.014146103333344201,0.07,t1_s1_h0,1796,05,voiced
10882,0.004943641465010748,0.08,t1_s1_h0,1796,05,voiced
10883,0.023203505997439443,0.09,t1_s1_h0,1796,05,voiced
10884,0.023252017311715865,0.1,t1_s1_h0,1796,05,voiced
10885,0.05767517507527735,0.11,t1_s1_h0,1796,05,voiced
10886,0.06994449085598979,0.12,t1_s1_h0,1796,05,voiced
10887,0.0597719038353482,0.13,t1_s1_h0,1796,05,voiced
10888,0.04022463766973733,0.14,t1_s1_h0,1796,05,voiced
